155,0101000020E61000008A7615527E8F5EC0D5B32094F7E14240,0103350,59255,Santa Clara Av:Park St,O 314 51A 851,"['314', '851']"
156,0101000020E6100000F558445EA0905EC0FF1B203DEAE24240,0103360,57373,Santa Clara Av:Stanton St,O 314 51A 851,"['314', '851']"
157,0101000020E61000002A0AAAFCA1905EC074547FCEEEE24240,0103370,55994,Santa Clara Av:Stanton St,O 314 51A 851,"['314', '851']"
159,0101000020E6100000CF5CF11EB1915EC0A4F50192FAE24240,0103420,59992,Santa Clara Av:Webster St,O 314 51A 851,"['314', '851']"
160,0101000020E6100000C855760BEE8F5EC041C351A85DE24240,0103430,51119,Santa Clara Av:Willow St,O 314 51A 851,"['314', '851']"
161,0101000020E61000004F95EF1989905EC0B97E0BFCF2E04240,0103450,57367,Shoreline Dr:#2019,W 20 663,"['20', '663']"
162,0101000020E6100000A4EF7F91E1905EC0F37D271C30E14240,0103470,52132,Shoreline Dr:Grand St,W 20 663,"['20', '663']"
163,0101000020E6100000655012B7AF905EC09BFB500E0BE14240,0103480,54387,Shoreline Dr:Kitty Hawk Rd,W 20 663,"['20', '663']"
164,0101000020E610000029F0A9F7AF905EC009151C5E10E14240,0103490,53313,Shoreline Dr:Kitty Hawk Rd,W 20 663,"['20', '663']"
166,0101000020E61000003EDBB46334905EC0086E49B31EE14240,0103590,55499,Alameda South Shore Center:Kohl's,20 314 356,"['20', '314', '356']"
167,0101000020E610000084A0A3552D905EC02D08E57D1CE14240,0103600,50300,Alameda South Shore Center:Kohl's,20 314 356,"['20', '314', '356']"
168,0101000020E6100000F54C2F3116935EC0FA8A24308CE44240,0103730,55033,W Midway Av:Pan Am Way,96,['96']
170,0101000020E6100000F0C16B97B6915EC0236EA9DE75E34240,0103800,51551,Webster St:Buena Vista Av,O 20 96 314 51A 851,"['20', '96', '314', '851']"
171,0101000020E61000005046A68DB4915EC0136D7D4743E34240,0103830,55549,Webster St:Lincoln Av,W 20 96 314 51A 851,"['20', '96', '314', '851']"
172,0101000020E6100000B9A5D590B8915EC0A150AAD8F3E24240,0103860,57750,Webster St:Santa Clara Av,W 20 631 663,"['20', '631', '663']"
173,0101000020E6100000A81EC4294E905EC02166E54D34E14240,0103900,52256,Whitehall Pl:Willow St,20 314,"['20', '314']"
174,0101000020E61000002BFA43334F905EC09C19FD6838E14240,0103910,51145,Whitehall Pl:Willow St,20 314,"['20', '314']"
175,0101000020E610000005BF0D315E905EC0F8DD74CB0EE14240,0103950,58178,Willow St:Franciscan Way,W 20 663,"['20', '663']"
176,0101000020E610000075B6364360905EC062CA767412E14240,0103960,57597,Willow St:Franciscan Way,W 20 663,"['20', '663']"
177,0101000020E610000095826E2F69905EC0725303CDE7E04240,0104010,58278,Willow St:Shoreline Dr,W 20 663,"['20', '663']"
179,0101000020E610000045E746A2618F5EC011A6CDDD53E14240,0104120,50650,Encinal Av:Broadway,O OX 631 663,"['OX', '631', '663']"
180,0101000020E61000000287AB5E598F5EC0C7B0D4C44CE24240,0104170,56658,Park St:Buena Vista Av,20 21 OX,"['20', '21']"
181,0101000020E6100000C518FD0D7F8F5EC0EA6A3C22F0E14240,0104210,52666,Park St:Santa Clara Av,20 21 OX,"['20', '21']"
182,0101000020E6100000FF21FDF6758F5EC08FA67A32FFE14240,0104220,55546,Park St:Santa Clara Av,20 21 OX,"['20', '21']"
183,0101000020E61000008082E6CEA78F5EC02140E14790E14240,0104230,51444,Park St:Encinal Av,20 21 314 663,"['20', '21', '314', '663']"
184,0101000020E6100000A480FE8C9C8F5EC0D08DFA35A3E14240,0104240,54877,Park St:Encinal Av,OX,[]
186,0101000020E6100000EA74C531B7915EC0C9D98530C8E24240,0104280,55975,Webster St:Central Av,W 20 631 663,"['20', '631', '663']"
